"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Business intelligence in a public institution — Evaluation of a financial data mart","J. Ramos; B. Alturas; S. Moro","DCTI, Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; ISTAR-IUL, Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; ISTAR-IUL, Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","Organizations felt the need to quickly process information in an efficient way in order to support decision-making, thus leading to the emergence of Business Intelligence systems. Their use in organizations has become crucial in the treatment of large data volumes, and providing relevant information, in order to assertively support decision-making. This article presents the design of a data mart for the financial resources of a public organism with the objective of responding to the data visualization and processing needs of the respective organism. Posteriorly a prototype was developed with the objective of evaluating, through the TAM model, the usability, utility and easiness of use. The sample chosen to evaluate this data mart and the respective data processing was made up of university students who attended the curricular unit of Business Intelligence II and who had the knowledge to do this evaluation.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975672","Business Intelligence;Public Sector;Data Warehouse;Financial Department;Data Mart;TAM Model","Business intelligence;Data warehouses;Data visualization;Data models;Computational modeling;Organizations;Organisms","","","","16","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Teleoperation of a mobile robot based on eye-gaze tracking","D. Gêgo; C. Carreto; L. Figueiredo","Research Unit for Inland Development, Polytechnic of Guarda, Guarda, Portugal; Research Unit for Inland Development, Polytechnic of Guarda, Guarda, Portugal; Research Unit for Inland Development, Polytechnic of Guarda, Guarda, Portugal","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","Most telerobotic applications rely on a Human-Robot Interface that requires the operator to continuously monitor the state of the robot through visual feedback while uses manual input devices to send commands to control the navigation of the robot. Although this setup is present in many examples of telerobotic applications, it may not be suitable in situations when it is not possible or desirable to have manual input devices, or when the operator has a motor disability that does not allow the use of that type of input devices. Since the operator already uses his/her eyes in the monitoring task, an interface based on the inputs from their gaze could be used to teleoperate the robot. This paper presents a telerobotic platform that uses a user interface based on eye-gaze tracking that enables a user to control the navigation of a teleoperated mobile robot using only his/her eyes as inputs to the system. Details of the operation of the eye-gaze tracking system and the results of a task-oriented evaluation of the developed system are also included.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975673","Mobile Robot;Teleoperation Interface;Human-Robot Interaction;Eye-Gaze Tracking","Robot sensing systems;Telerobotics;User interfaces;Mobile robots;Cameras;Monitoring","","11","","21","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Processing of biomedical signal with neural network Adaline","A. Medina-Santiago; L. E. Gómez-Aguilera; A. Cisneros-Gomez; E. M. Melgar-Paniagua; G. B. Nango-Solis; N. A. Morales-Navarro; J. M. Villegas-Izaguirre; N. R. García-Chong; J. I. Bermudez-Rodriguez","Instituto de Investigaciones Nucleares, Ciudad de México; Instituto de Investigaciones Nucleares, Ciudad de México; Instituto de Investigaciones Nucleares, Ciudad de México; Instituto de Investigaciones Nucleares, Ciudad de México; Instituto Tecnológico de Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas; Instituto Tecnológico de Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas; Instituto Tecnológico de Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas; Instituto Tecnológico de Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas; Instituto Tecnológico de Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","This article presents the development of a support system for the physician in the diagnosis of mental illness; the system is based on an Adaline neural network for the processing of biomedical signals from 4 types of ocular movements in order to extract their information and interpret the action potential of each eye movement under study.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975674","Electro-oculograficas (EOG) signals;Adaline neural network;Diagnostics","Electrooculography;Biological neural networks;Medical diagnostic imaging;Silicon;MATLAB;Retina","","","","27","","13 Jul 2017","","","IEEE","IEEE Conferences"
"AmarganA: A spelling game of the Portuguese language for use in mobile devices","E. M. Yamato; A. G. D. Corrêa; V. F. Martins","Faculdade de Computação e Informática, Universidade Presbiteriana Mackenzie, São Paulo, Brasil; Faculdade de Computação e Informática, Universidade Presbiteriana Mackenzie, São Paulo, Brasil; Faculdade de Computação e Informática, Universidade Presbiteriana Mackenzie, São Paulo, Brasil","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","Due to the growing use of smartphones it is possible to observe a discussion on the benefits and problems faced by teachers in this new digital age. Using such devices, in favor of the teaching-learning process, it seems of great value and has been widely discussed and even encouraged by various organizations such as UNESCO. In this context, this paper presents the application called AmarganA, a game to help the teaching-learning process of the Portuguese Language Spelling. The game has been tested by 10 children of elementary school. Preliminar results show that the game can promote learning of the Portuguese language and stimulate creativity.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975675","Serious Games;Literacy;Orthographic Rules;Mobile devices;Portuguese language","Internet;Smart phones;Games;Androids;Humanoid robots;Bills of materials","","","","6","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Development of software prototypes through model game jam and basic vision artificial techniques","L. Barba-Guamán; P. A. Quezada-Sarmiento; C. Calderon-Cordova; L. Enciso; D. Guamán","Departament of Electronics and Computer Science, Universidad Técnica Particular de Loja, Loja, Ecuador; Departament of Electronics and Computer Science, Universidad Técnica Particular de Loja, Loja, Ecuador; Departament of Electronics and Computer Science, Universidad Técnica Particular de Loja, Loja, Ecuador; Departament of Electronics and Computer Science, Universidad Técnica Particular de Loja, Loja, Ecuador; Departament of Electronics and Computer Science, Universidad Técnica Particular de Loja, Loja, Ecuador","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","The artificial vision is a part of the artificial intelligence that pretends to simulate the human vision, is to say, from the acquisition, processing, analysis and interpretation of images through an intelligent system. This work presents the creation of prototypes under the game jam model as a software product. In this context, the objective of the present work was to apply basic artificial vision algorithms such as linear discriminant analysis (LDA), principal component analysis (PCA), Fisherface, Otsu, CamShift and color spaces such as RGB and HSV in order to be able to motion detection of objects, face recognition and pedestrian detection. As a result of applying this model in rapid prototyping, we found significant factors (such as: participatory design, light construction, product value approach, aesthetics and technology) in the implementation of innovative strategies in creating of prototypes focused on Software development.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975676","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975676","Game jam;machine vision;software model;User interfaces","Games;Software;Principal component analysis;Prototypes;Computational modeling;Image color analysis;Color","","2","","36","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Use of SQALE and tools for analysis and identification of code technical debt through static analysis","D. Guamán; P. A. Quezada-Sarmiento; L. Barba-Guaman; L. Enciso","Departamento de Ciencias de la Computación y Electrónica, Universidad Técnica Particular de Loja; Departamento de Ciencias de la Computación y Electrónica, Universidad Técnica Particular de Loja; Departamento de Ciencias de la Computación y Electrónica, Universidad Técnica Particular de Loja; Departamento de Ciencias de la Computación y Electrónica, Universidad Técnica Particular de Loja","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","7","Technical Debt (TD), also known as technical debt design or technical debt code, analyze the consequence that could have a system once it has been designed architecturally, coding or implemented. TD refers to work to be performed rather than software design or coding is considered complete or correct. Static analysis is a technique to identify and analyze software characteristics from source code; through static analysis we can identify elements such as packages, classes, relationships, lines of code (LOC's), bugs, complexity, coding violations and others. In addition subsystems, components and their relationships supported by tools, algorithms, frameworks to analyze the code were identified. SQALE[1] is a quality and analysis model contains the internal properties expected from the code in the context of the evaluation, it has been used to perform many assessments of software source code, of various sizes in different application domains and programming language. SonarQube[2], Kiuwan[3] and PMD[4] are an open source platform to manage the source code quality, this cover seven axes of code quality among which stand: architecture and design, duplications, unit test, complexity, potential bugs, codifications rules, comments, among others; this platform work with over 20 programming languages. This paper, use as input the source code of the software applications written in different programming language for through static analysis identify metrics, characteristics, and technical debt with the aim to improve the quality when writing code, also supported in static analysis identify aspects such as correct apply of quality attributes, standards and best practices of programming that based in ISO 9126 and SQALE ensure the correct software development in terms of design and coding.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975677","Quality attributes;source code;SonarQube;SQALE;static analysis;technical debt","Software;Encoding;Computer languages;ISO Standards;Monitoring;Biomedical monitoring;Tools","","1","","23","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Services of general interest information on iTV a personalised and dynamic approach","D. Campeio; T. Silva; J. F. Abreu","Universidade de Aveiro, Aveiro, Aveiro, PT; Departamento de Comunicação e Arte (DeCA), Universidade de Aveiro, Aveiro, Portugal; Departamento de Comunicação e Arte (DeCA), Universidade de Aveiro, Aveiro, Portugal","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","4","This paper aims to present an ongoing PhD research project in Information and Communication in Digital Platforms course of University of Aveiro and University of Porto. This study, which started in June/2016 and is 24 months long, aims to study, conceptualize, prototype and validate a system for personalized and dynamic recommendation of informative videos about public and social services, for later exhibition on an Interactive TV platform (iTV). The target audience of this study are the Portuguese seniors and this project expects to enrich the television experience, to contribute to enhance seniors' information levels and, consequently, enable higher levels of satisfaction, autonomy and quality of life.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975678","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975678","Interactive TV;Personalization;Seniors;Info-inclusion;Pubic Services","TV;Visualization;Instruments;Prototypes;Videos;Europe;Software","","","","20","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Web-based scientific computing, a little explored field an engineering problem: Pneumatic transport","F. Rosa; M. Casquilho","Universidade de Lisboa, Lisboa, Lisboa, PT; Universidade de Lisboa, Lisboa, Lisboa, PT","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","Web-based computing makes calculations available to any user just by means of a browser, i. e., without installing any software in the user's computer, which thus does not need any especially high computing power or specific operating system. As a mere illustration, an Engineering problem in pneumatic transport is addressed, to determine the minimum transport velocity, as needed in some industries. This determination is made available to any user through a web-based executable program made by the authors that computes the velocity, following common theory. This study is an instance of computing over the Web, a way of computing that employs exactly the same executable programs as classical computing, these being typically the hard task in most Engineering and other problems. This type of computing, with the corresponding tailored executables, can be used to solve innumerable other problems. This web-based technique also facilitates cooperative work, given the current ease of worldwide communication. We find it to be a comparatively little explored field of the Web.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975679","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975679","Web-based application;scientific computing;industrial problem;pneumatic transport","Web pages;Electron tubes;Browsers;HTML;Graphics;Operating systems","","2","","34","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Information system for the quantification of financial risk","M. A. Arias-Serna; F. J. Caro-Lopera; J. A. Echeverri-Arias; D. A. Castañeda-Palacio; J. G. Murillo-Gómez","Universidad de Medellín, Medellín, Colombia; Universidad de Medellín, Medellín, Colombia; Universidad de Medellín, Medellín, Colombia; Universidad de Medellín, Medellín, Colombia; Universidad de Medellín, Medellín, Colombia","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","1","6","The quantification of financial risk such as liquidity risk and others is one of the most frequent concern in the bank and corporative sector, in this sense, the liquidity risk materialization causes big monetary lost when corporations are incapable on give appropriate fulfillment of obligations due to lack of liquid resources. On the other hand, when operational risk is present, there are large losses due to fails on the procedures that adversely affect the functioning of the organization. With the goal of systematize the risk quantification it has implement the Information System Financial Risk Management, which was constructed like a suite of software compound by two applications that facilities the quantification of liquidity risk and operational risk. Nowadays the Information System is used by corporations in Colombian financial sector, who by means of use of tools has been reached the fulfillment the results, avoiding the materialization of negative events.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975680","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975680","software engineering;architecture based on pipelines;value at risk;liquidity risk;operational risk","Reactive power;Software;Information systems;Risk management;Pipelines;Unified modeling language;Media","","1","","19","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Higher education teachers in Portugal use technology in their educational activities: Myth or Reality?","P. Peres; F. Moreira; A. Mesquita","CICE-ISCAP/IPP, Porto, Portugal; IJP, UPT, Porto, Portugal; CICE-ISCAP/IPP, Porto, Portugal","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","13 Jul 2017","2017","","","16","16","Technologies are being introduced in our everyday life, including schools and in particular classrooms. Teachers are trying to make the most of web 2.0 tools and social media. However, we are not sure if, in fact, teachers are using these technologies and if when they do, if they do so with pedagogical purposes or to help them to manage the learning process or to replace some obsolete technologies by more modern ones but without learning objectives. To contribute to this question a questionnaire was developed and administered to teachers from higher education. Results show that there is still a long way to go before saying that teachers are fully using and taking the advantages of technologies in the classroom.","","978-9-8998-4347-9","10.23919/CISTI.2017.7975681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975681","higher education;teachers;technologies;web 2.0;tools;pedagogy","Education;Tools;Web 2.0;Taxonomy;Technological innovation;Social network services;Context modeling","","2","","34","","13 Jul 2017","","","IEEE","IEEE Conferences"
