"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Simulation of vehicular communications scenarios using the ns3 Millicar module","E. E. González; F. Morales; E. Lozano","Departamento de Ciencias de la Ingeniería, Universidad Tecnológica Israel, Universitat Politècnica de València, Quito, Ecuador; Departamento de Ciencias de la Ingeniería, Universidad Tecnológica Israel, Quito, Ecuador; Departamento de Ciencias de la Ingeniería, Universidad Tecnológica Israel, Quito, Ecuador","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","6","This paper presents the results obtained after simulating vehicular communications scenarios by setting parameters defined in the standard. Three scenarios with different vehicle configurations on the road were considered. The open source tool, Millicar, was used for the simulations. This tool is basically a module integrated to ns3 and is configured according to the 3rd Generation Partnership Project (3GPP) standards defined for vehicular communications in 5G New Radio (5G-NR). In addition, it is optimized for the use of millimeter bands where there is a special interest due to the availability of spectrum in these bands. However, there are certain challenges to be taken into account, related to the high attenuation that occurs at these frequencies. The results obtained show the direct impact of increased vehicle speed on the performance achieved. In addition, a higher vehicle separation results in a higher rate of lost packets, thus reducing the throughput. Finally, the performance of V2X communication in millimeter bands is improved due to the use of higher bandwidths.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211664","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211664","C-V2X;mmWave;5G;vehicular communications","Space vehicles;Roads;Bandwidth;Attenuation;Throughput;New Radio;High frequency","","","","11","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Metaverse: : an analysis of the conceptual structure","E. A. D. Moresi; I. Pinho; A. P. Costa","Universidade Católica de Brasília, Brasília, Brasil; Universidade de Aveiro, Aveiro, Portugal; Universidade de Aveiro, Aveiro, Portugal","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","7","Metaverse is a compound word combining meta (beyond; transcending) and verse (the root of the universe; cosmos; the whole world), which denotes a new virtual universe created beyond the real world. This paper aims to explore the conceptual structure of the metaverse from a Web of Science (WoS) database search and metadata analysis using the R-Bibliometrix package. This research identified the following performance indicators: most relevant sources, corresponding authors’ country, most cited countries, word cloud extracted from WoS subject categories, and cumulative dynamics of authors’ keywords. The conceptual structure analysis used the following features: thematic map of authors’ keywords; thematic evolution of authors’ keywords; and factor analysis using the multiple correspondence analysis method. It is concluded that the metaverse will merge the virtual and physical worlds and create a new engagement model based on several emerging technologies, such as virtual and augmented reality, artificial intelligence, blockchain, and edge computing.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211640","metaverse;bibliometrics;document network analysis;conceptual structure;performance analysis","Metaverse;Databases;Computational modeling;Metadata;Tag clouds;Feature extraction;Blockchains","","","","0","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Metaverse: technology landscape of patent informations","E. A. D. Moresi; I. Pinho; A. P. Costa","Universidade Católica de Brasília, Brasília, Brasil; Universidade de Aveiro, Aveiro, Portugal; Universidade de Aveiro, Aveiro, Portugal","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","6","Technically, the metaverse is a shared virtual collective space created by converging virtually enhanced physical and digital reality. As a combinatorial innovation, multiple technologies and trends are required, such as virtual reality, augmented reality, the internet of things, 5G, and artificial intelligence. The objective of this paper is to present a landscape of the technologies registered in patent documents using the R Bibliometrix package to explore the metadata retrieved in the research. The methodology of this work comprises the data collection, detailing how the study was carried out, and the analysis of the patent metadata using the R-Bibliometrix package. The technology landscape contained the performance and technological structure analyses. The performance indicators identified patents by jurisdiction and top applicants. The technological structure presented the following topics: the most frequent words and CPC/subclass codes; trend topics; thematic map and evolution of the CPC/group codes. The conclusion highlights the use of R-Bibliometrix for the development of a technological landscape.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211453","metaverse;bibliometrics;patentometrics;document network analysis","Patents;Technological innovation;Codes;Metaverse;Network analyzers;Metadata;Data collection","","","","0","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Virtual Study Visits: a Valuable Tool for the Educational Process","J. Costa; V. Gonçalves","Escola Superior de Educação, Instituto Politécnico de Bragança, Bragança, Portugal; Centro de Investigação em Educação Básica (CIEB), Instituto Politécnico de Bragança, Bragança, Portugal","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","4","Education is the key to achieving a more sustainable society. In Portugal, the educational systems determine some rules to promote an educational process that leads students to attain specific skills, abilities, and attitudes according to the student profile at the end of compulsory education. Study or training visits are didactic tools that contribute to the link between theoretical content and practice, adding value to the teaching and learning process. In this sense, virtual study visits (VSVs) using digital technologies are a way to promote connections between knowledge and know-how since they have a low cost, require less bureaucratic processes, and allow teachers to make use of this resource within the timetable of the curricular units. VSVs can be used in all curricular units, adding value to the contents covered. This study rooted in the Design Science Research methodology, proposes the construction of an artefact that can contribute to the training processes within teaching. It is based on an innovation idea awarded in 2021 and consists of creating a web portal to promote virtual visits, which may be used as an environment for the promotion of virtual field trips customised according to the curricular units and the level of the classes. It is expected that the web portal can contribute to the sustainable development of the regions, as it will use local tour guides who will receive all the training to prepare multimedia material and deal with each level of education.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211569","digital technologies;virtual study visits;design science research;education;innovation","Training;Technological innovation;Costs;Design methodology;Position measurement;Sustainable development;Portals","","","","9","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Development of a Collaborative Information Management Prototype through a gamification App for Android in the prevention, response and recovery of natural, technological and human disasters","C. C. V. Lewis; T. E. R. Miroslava; I. E. W. Henry; S. J. M. Elizabeth","Facultad de Ciencias Empresariales, Universidad Técnica de Machala, Machala, Ecuador; Facultad de Ciencias Empresariales, Universidad Técnica de Machala, Machala, Ecuador; Facultad de Ciencias Empresariales, Universidad Técnica de Machala, Machala, Ecuador; Departamento de Ciencias de la Ingeniería, Universidad Tecnológica Israel, Quito, Ecuador","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","6","This research work aims to design a prototype of a collaborative information management system, through a gamification App for Android, which provides information to the citizens of the province of El Oro in the prevention, response and recovery of natural, technological (oil spill) and human disasters. For the implementation of the Android gamification App we propose a software methodology that maintains an agile development scheme, along with the documentation that will be generated. The methodology to be used, is a process aimed at the management and development of software projects based on an iterative, agile and incremental development appropriate for this type of projects; and it is applicable to a wide set of development platforms and applications. Its phases or life cycle are: Pre-Game, Game and Post-Game.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211735","Gamification;Iterative development;Pre Game;Game;Post Game","Oils;Prototypes;Collaboration;Games;Documentation;Software;Information management","","","","0","","15 Aug 2023","","","IEEE","IEEE Conferences"
"The Big Brother Experience: opportunities of a video surveillance system in Amadora city","G. Cardoso; B. Alturas; C. Foà","MGSI, Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; ISTAR-Iscte, Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","5","When in 1949 George Orwell wrote the book “1984”, no one could predict its future impact. In his dystopian novel, Orwell described a totalitarian society strongly marked by vigilance and all the consequences that come from it. Although a society with these characteristics might have seemed far away or completely out of the realm of possibility until relatively recently, the truth is, that the latest technological advances have raised pertinent issues related to security and privacy, but also freedom of individuals. This technology has created surveillance devices that are beginning to be implemented around the world with the aim of combating crime. But to what extent are these video surveillance systems an effective tool in combating crime and how does the population react and how do they feel about this control?","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211896","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211896","Video surveillance;Privacy;Security;Amadora","Privacy;Urban areas;Sociology;Video surveillance;Security;Statistics;Information systems","","","","0","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Youth, media and technology : Practices and habits of media students in accessing information","N. S. Morais; J. Martins; M. Midões","Departamento de Comunicação e Arte, Escola Superior de Educação, CI&DEI - Centre for Studies in Education and Innovation, Instituto Politécnico de Viseu, Viseu, Portugal; Departamento de Comunicação e Arte, Escola Superior de Educação, CI&DEI - Centre for Studies in Education and Innovation, Instituto Politécnico de Viseu, Viseu, Portugal; Departamento de Comunicação e Arte, Escola Superior de Educação, CI&DEI - Centre for Studies in Education and Innovation, Instituto Politécnico de Viseu, Viseu, Portugal","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","6","As part of the project “Media Literacy in Higher Education: an exploratory study with Social Communication students”, the authors intend to assess the degree of media literacy of students attending a course in Media Studies. This article analyses the data that crosses the answers to an online questionnaire with the results of a focus group, instruments applied to first-year undergraduate students in the scope of media consumption habits and practices. The results show the prevalence of screens, especially social media and television, as means of information consumption and point to the prevalence of the smartphone and the replacement of entertainment consumption on television by streaming platforms. The relevance and contribution of this study involve the idea of change in consumption habits, with special emphasis on a generational group, which is in training to exercise a profession in social communication. Given the change in the communicational paradigm, media education continues to play a fundamental role in developing critical thinking to understand this change and its implications in the current society of screens, where information overload reigns and consumption is differentiated.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10212038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212038","Students;Higher Education;Technologies;Media Consumption;Media literacy","Training;TV;Social networking (online);Instruments;Entertainment industry;Media;Information systems","","","","0","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Internet use during periods of confinement in Portugal : – the case of students of a Higher Education Institution","T. Pestana; N. S. Morais; R. Raposo","Escola Superior de Educação, Instituto Politécnico de Viseu, Viseu, Portugal; Departamento de Comunicação e Arte, Escola Superior de Educação, CI&DEI - Centre for Studies in Education and Innovation, Instituto Politécnico de Viseu, Viseu, Portugal; Universidade de Aveiro, Aveiro, Portugal","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","7","This article presents the results of an investigation involving students from the Polytechnic Institute of Viseu (PIV), which sought to understand the trend regarding Internet access and use by IPV students during confinement in Portugal. In this case study, a questionnaire was implemented, and interviews were conducted to collect data from 94 participants. The results show that students spent most of their days connected to the Internet to use social networks and send and receive messages. Regarding the use of devices, they preferably use their mobile phones, followed by their laptops. In the opinion of these students, the Internet stands out for having allowed them to continue with their education/work and also for having served as a solution to keep in touch with friends and family while simultaneously serving as a disseminator of information regarding the pandemic. This study’s relevance and main contribution are, among others, to allow the characterisation of habits and practices of access and use of the Internet in such a particular period as the confinements caused by the COVID-19 pandemic.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211539","Students;Higher Education;Internet;COVID-19 Pandemic","COVID-19;Portable computers;Pandemics;Social networking (online);Market research;Mobile handsets;Internet","","","","0","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Interconnection of wireless sensors for IoT systems","D. Lancheros-Cuesta; D. Felipe-Vallejo","Universidad Cooperativa de Colombia, Bogotá, Colombia; Universidad Cooperativa de Colombia, Bogotá, Colombia","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","5","When talking about biodiversity, Colombia is one of the richest countries, which has rivers and coasts on two seas; due to its position on the planet it has very rainy areas that produce large rivers throughout the territory, in addition to this, more than a quarter of the country is made up of wetlands, however, different parts of the country lack drinking water due to the lack of infrastructure and water quality control, which is responsible for the supply of this resource.The purpose of this article is to design a network model to interconnect wireless sensors that are in charge of monitoring the quality of water for human consumption, having an interconnection between the devices and installing a PLC, Raspberry pi or Arduino controller which will be in charge of all the data taken by the different sensors and will have a WAN (wide area network) connection, in order for the data to be transmitted to the internet, so that they can be processed and monitored in real time; a network will be collected automatically bearable in terms of powering the equipment, so sensors with solar panels and a network protocol to be defined for WSN (wireless sensor networks) are proposed.All this to have effective water quality monitoring, thus launching preventive alerts in case of having any type of water contamination, avoiding different problems such as deaths in children, illnesses or any effect caused by contaminated water.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211838","Sensors;water;networ;connectivit;wireless;IoT","Wireless communication;Wide area networks;Wireless sensor networks;Water quality;Water pollution;Sensors;Rivers","","","","0","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Online Scheduling: A Survey","R. Guerreiro; A. S. Santos; A. Tereso","Interdisciplinary Studies Research Center (ISRC), Institute of Engineering, Polytechnic Institute of Porto, Porto, Portugal; Interdisciplinary Studies Research Center (ISRC), Institute of Engineering, Polytechnic Institute of Porto, Porto, Portugal; ALGORITMI Research Centre/LASI, University of Minho, Guimarães, Portugal","2023 18th Iberian Conference on Information Systems and Technologies (CISTI)","15 Aug 2023","2023","","","1","6","In this article a deep search of the literature of online scheduling is conducted. This paper intends to assess the developments and solutions found for online scheduling problems. Online scheduling is a very important topic since most of the real scheduling problems have dynamic characteristics. First, it was developed a literature review about scheduling problems, dividing them in stochastic and deterministic problems as well as in online and offline problems. Then, a bibliometric analysis was performed. Finally, some case studies in the field of online scheduling were analyzed. Online Scheduling is mostly explored in industry and health areas. In some articles explored there is a rescheduling, and the sequence of task may change due to the arrival of new tasks. In other cases, the new tasks are introduced in blocks of time that do not affect the previous schedule. This last technique is limited, since, with the arrival of new tasks, the schedule is not re-evaluated. Therefore, it is thought that, in future work, within the scope of online scheduling, when new tasks or other significant changes enter the system, the system should be evaluated, allowing the necessary changes to be made to the existing schedule. The Industry 4.0 and the evolution of Internet of Things (IoT), Deep Learning and Machine Learning favours a continuous and real-time flow of information, which allows the implementation of real-time online scheduling. This is a branch that should be explored in future works.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211826","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211826","online scheduling;heuristics;internet of things;machine learning","Industries;Deep learning;Schedules;Job shop scheduling;Bibliometrics;Dynamic scheduling;Real-time systems","","","","26","","15 Aug 2023","","","IEEE","IEEE Conferences"
