"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Racing based approach for Metaheuristics parameter tuning","I. Pereira; A. Madureira","GECAD - Knowledge Engineering and Decision Support Research Center, School of Engineering from Polytechnic of Porto (ISEP/IPP), Porto, Portugal; GECAD - Knowledge Engineering and Decision Support Research Center, School of Engineering from Polytechnic of Porto (ISEP/IPP), Porto, Portugal","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","6","Metaheuristics are very useful to achieve good solutions in reasonable execution times. Sometimes they even obtain optimal solutions. However, to achieve near-optimal solutions, the appropriate tuning of parameters is required. This paper presents a Racing based learning module proposal for an autonomous parameter tuning of Metaheuristics. After a literature review on Metaheuristics parameter tuning and Racing approaches, the learning module is presented. A computational study for the resolution of the Scheduling problem is also presented. Comparing the preliminary obtained results with previous published results allow to conclude about the effectiveness and efficiency of this proposal.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170351","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170351","Artificial Intelligence;Learning;Metaheuristcs;Parameter Tuning;Racing;Scheduling","Tuning;Processor scheduling;Job shop scheduling;Optimization;Bibliographies;Genetic algorithms","","","","26","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Using binary fruit fly algorithm for solving the set covering problem","B. Crawford; R. Soto; C. Torres-Rojas; C. Peña; M. Riquelme-Leiva; F. Johnson; F. Paredes","Universidad Finis Terrae, Santiago, Chile; Pontificia Universidad Catolica de Valparaiso, Valparaiso, Chile; Pontificia Universidad Catolica de Valparaiso, Valparaiso, Chile; Pontificia Universidad Catolica de Valparaiso, Valparaiso, Chile; Pontificia Universidad Catolica de Valparaiso, Valparaiso, Chile; Pontificia Universidad Catolica de Valparaiso, Valparaiso, Chile; Universidad Diego Portales, Santiago, Chile","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","4","Many practical applications are used in set covering problems (SCP), in this research, we used to solve SCP: the binary Fruit Fly Optimization algorithms. This algorithm is divided in four phases: initiation, smell based search local vision based search and global vision based search. The metaheuristic is based by the knowledge from the foraging behavior of fruit-flies in finding food. The algorithm used a probability vector to improve the exploration. The tests were performed with eight different transfer functions and an elitist selection method. The test results show the effectiveness of the algorithm proposed.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170352","fruit fly optimization algorithm;set covering problem;transfer functions;metaheuristics","Optimization;Transfer functions;Computer science;Logistics;Operations research;Computers;Neural networks","","1","","13","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Analysis of the utilization of Web 2.0 resources in secondary education and advanced vocational training studies","F. Banda-Sierra; A. J. Reinoso","Departamento de Ingenierias TIC, Universidad Alfonso X, Madrid; Departamento de Ingenierias TIC, Universidad Alfonso X, Madrid","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","6","This paper presents a study to address the use of Web 2.0 tools in education. The study focuses on secondary education and is limited to the region of Madrid (Spain). The main objectives of the study are to determine the involvement of both teachers and students in the use of Web 2.0 tools. Moreover, we will also examine the different parameters associated with the acceptance and application of Web 2.0 resources. Finally, we will describe the different patterns of interaction of both students and teachers with respect to these digital platforms. As a result, we will be in position of assessing the convenience and acceptance of artifacts based on the Web 2.0 paradigms to be used as effective resources to improve the students' learning experience.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170353","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170353","Web 2.0;Media Education;School 2.0;Knowledge Society","Web 2.0;Software;Media;Vocational training;Knowledge engineering","","1","","16","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Collaborative emergency preparedness: A design model to support collective intelligence in emergency drills","A. de Miguel; D. Díez","Departamento de Informática, Universidad Carlos III de Madrid, Leganés, Madrid, España; Departamento de Informática, Universidad Carlos III de Madrid, Leganés, Madrid, España","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","6","Training and exercising is a basic activity of emergency preparedness. Although emergency drilling is consider as a social activity, in which the opinions and thoughts of the different actors should be considered, the lack of suitable technologies hinders the involvement of such actors. With the purpose of overcoming this shortage and providing effective technological tools, this paper presents a conceptual design model that informs the development of socio-technical systems to support community involvement in emergency drills.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170354","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170354","crisis informatics;collective intelligence;socio-technical systems;collective intelligence technology-assisted","Biological system modeling;Software;Google;Facebook;Irrigation;Informatics;Artificial intelligence","","","","16","","30 Jul 2015","","","IEEE","IEEE Conferences"
"ISO/IEC 27001 implementation in public organizations: A case study","B. Sussy; C. Wilber; L. Milagros; M. Carlos","Unidad de Posgrado de la Facultad de Ingeniería de Sistemas e Informática, Universidad Nacional Mayor de San Marcos, Lima; Unidad de Posgrado de la Facultad de Ingeniería de Sistemas e Informática, Universidad Nacional Mayor de San Marcos, Lima; Unidad de Posgrado de la Facultad de Ingeniería de Sistemas e Informática, Universidad Nacional Mayor de San Marcos, Lima; Unidad de Posgrado de la Facultad de Ingeniería de Sistemas e Informática, Universidad Nacional Mayor de San Marcos, Lima","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","6","In recent years, due to the intensive use of information technology, the information security has become a crucial and strategic issue in organizational management. Various standards and guidelines for security information as ISO/IEC 27001, ISO/IEC 27002, and COBIT have been developed; however, organizations still face difficulties in their implementation. This paper presents the current situation of the ISO/IEC 27001 implementation process in Peruvian public organizations. As a result of literature review, the critical success factors for successful implementation of ISO/IEC 7001 were identified. Furthermore, it was conducted a review of the ISO/IEC 27001 implementation in five organizations, taking into consideration the critical success factors identified. From the results obtained, it is concluded that there is the need for considering not only technical, legal, and organizational issues but also factors related to people such as training, knowledge and awareness raising in order to get success of information security management.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170355","critical success factors;NTP ISO/IEC 27001;information security management system;ISMS","ISO standards;IEC standards;Organizations;Information security;Standards organizations;Software;Monitoring","","9","","34","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Authorization services of the eVida platform","F. Augusto; J. Quintas; C. Cardoso; M. Grade; Y. Llerena; A. Queirós; N. P. Rocha","Maisis, Aveiro, Portugal; Instituto Pedro Nunes, Coimbra, Portugal; Maisis, Aveiro, Portugal; Maisis, Aveiro, Portugal; IEETA, Universidade de Aveiro, Aveiro, Portugal; IEETA, Universidade de Aveiro, Aveiro, Portugal; IEETA, Universidade de Aveiro, Aveiro, Portugal","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","6","This article focuses on the eVida platform developed to provide innovative products and services in health and quality of life domains to support the integration of formal and informal care at the community level. In addition to a brief description of the services architecture that supports eVida platform, the article discusses the options taken for the implementation of the authorization services.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170356","ehealth Services;Authorization Services;Care Integration","Monitoring;Service-oriented architecture;Biomedical monitoring;Authorization;Communities;Pervasive computing;Computational modeling","","","","23","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Identifying engagement indicators to support educational research","L. da Rocha Seixas; I. J. de Melo Filho; A. S. Gomes","UFPE - Centro de Informática, Pernambuco, Brasil; UFPE - Centro de Informática, Pernambuco, Brasil; UFPE - Centro de Informática, Pernambuco, Brasil","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","6","This work aims to present engagement indicators in support of educational research. It is known that the difficulty of engagement of students remains one of the biggest challenges faced by teachers. Usually the research show indicators or engagement variables in order to see if there was any change in the context of its interventions in the teaching process mediated by technology or not. The method used consisted of narrative type of literature review whose purpose search synthesize the individual studies on specific topics. The result showed ten (10) engagement indicators. Importantly, these can serve as support for future research in the educational field as well be applied as a strategy to identify the level of engagement of students in the various modalities of teaching.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170357","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170357","Indicators;Engagement;Educational Studies","Bibliographies;Learning management systems;Instruments;Publishing;Psychology;Context","","","","59","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Evaluation of mobility models to mobile networks in emergency and rescue scenarios AVM, UPM, pursue, waypoint and brownian","R. T. Tandazo; S. C. Carrión; P. L. Ludeña Gonzalez; K. M. Cueva","Departamento de Ciencias de la Computación, Universidad Técnica Particular de Loja, Loja, Ecuador; Departamento de Ciencias de la Computación, Universidad Técnica Particular de Loja, Loja, Ecuador; Departamento de Ciencias de la Computación, Universidad Técnica Particular de Loja, Loja, Ecuador; Departamento de Ciencias de la Computación, Universidad Técnica Particular de Loja, Loja, Ecuador","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","6","Nodes in a mobile Ad Hoc network can change their location dynamically. The manner in which nodes can be moved can be represented by a mobility model. A mobility model defines the speed, pauses and direction of the nodes in a network. The way in which nodes move in an emergency scenario and rescue differs from a normal scenario, because the normal paths can be interrupted. AVM mobility models and UPM have been defined for this type of scenario. This paper presents a comparison of mobility models AVM, UPM, Waypoint, Brownian, Pursue on emergency and rescue scenario, with different routing protocols and different node density. The results show that Pursue, AVM and UPM models are more efficient than other models.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170358","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170358","Ad hoc mobile networks;mobility models;emergency and rescue scenarios","Computational modeling;Mobile ad hoc networks;Mobile computing;Mobile communication;Routing protocols;Art","","4","","15","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Gröbner bases and mathematical exercises generation with nondetermined structure","I. Araújo; G. Smirnov; J. J. Almeida","Departamento de Matemática e Aplicações, Universidade do Minho Braga, Portugal; Departamento de Matemática e Aplicações, Universidade do Minho Braga, Portugal; Departamento de Informática, Universidade do Minho Braga, Portugal","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","5","Given a concrete scenario, there is frequently a huge quantity and variety of exercises that we can write about it. In this article, we present an algorithm which allows us to automate this process. To generate mathematical exercises, we start from the relations between the variables present in the scenario, we calculate the possible exercises, we analise the complexity of its resolution process and its viability. The algorithm uses Gröbner bases to determine if the exercise is solvable and a possible path of resolution. Based on the analysis of the obtained results, its possible to create an exercises base related to that scenario.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170359","e-learning;mathematical exercises;Gröbner bases","Geometry;Electronic learning;Manuals;Computers;Information systems;Multidimensional systems;Concrete","","","","17","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Design of information system for the Liquidity Risk Management in financial institutions","J. A. E. Arias; M. A. A. Serna; J. G. M. Gómez; C. Kleine; L. C. F. Arbeláez","Facultad de Ingenierías, Universidad de Medellín, Medellín, Colombia; Facultad de Ingenierías, Universidad de Medellín, Medellín, Colombia; Facultad de Ingenierías, Universidad de Medellín, Medellín, Colombia; Facultad de Ingenierías, Universidad de Medellín, Medellín, Colombia; Facultad de Ciencias, Económicas y Administrativas, Medellín, Colombia","2015 10th Iberian Conference on Information Systems and Technologies (CISTI)","30 Jul 2015","2015","","","1","6","The financial institutions face risk daily regarding disposition of liquid resources to meet the request from customers, such conflicts found in the information systems potential tools for right decisions. This work present the software architectural design and implementation of information system called Liquidity Risk Management (LRM) helping the collection measures of information in real time for proper risk liquidity management in financial institutions. The paper presents and describe the system architectural components, its functionalities and the implementation of different methods for risk value in a portfolio formed by four portfolios.","2166-0727","978-9-8998-4345-5","10.1109/CISTI.2015.7170360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7170360","architecture based on filters;Value at Risk;financial risk","Reactive power;Testing;Software;Risk management;Information systems;Portfolios;Media","","","","13","","30 Jul 2015","","","IEEE","IEEE Conferences"
