"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Capture and maintenance of projects total cost minimization applications' results","R. Moutinho; A. Tereso","Informatics Department, University of Minho, Braga, Portugal; Production and Systems Department, University of Minho, Braga, Portugal","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","6","In the past several years, various optimization algorithms had been implemented on the project total cost minimization problem. Lately, it was developed an application that serves as a central platform that integrates all those previous implementations. Currently, such platform allows the access and execution of each one of the other utilities as modules/plugins. Each of which can be configured to execute optimizations over different projects. Although the platform already saves the optimization results, it lacks a suitable processing mechanism that would ease the cross analysis over all the utilities. Therefore, we want to include capture and analysis of results into the platform in order to properly aggregate them in a results database. Such database could then be queried for numerous purposes being the performance evaluation, across the optimization utilities, one of the first. In this project we analyze a total of five heterogeneous optimization utilities, all coded in Java, using algorithms based on dynamic programming and global optimization. The heterogeneity poses a challenge which we overcame by establishing a common results storage language, by means of XML files.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556720","Project Scheduling;Optimization Applications;XML Processing","Optimization;XML;Databases;Java;Context;Data mining;Resource management","","","","11","","23 Aug 2010","","","IEEE","IEEE Conferences"
"Comparing gps traces in car sharing systems","P. Monteiro; C. Carreto; J. Peixoto","Instituto Politécnico da Guarda, Unidade de Investigação para o Desenvolvimento do Interior, Guarda, Portugal; Instituto Politécnico da Guarda, Unidade de Investigação para o Desenvolvimento do Interior, Guarda, Portugal; Centro Algoritmi, Universidade do Minho, Guimaraes, Portugal","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","6","This article is the result of a project, still under development, which intends to implement methods of comparing GPS traces in a car sharing system. With the aim of identifying similar itineraries as well as suggesting car sharing hypothesis that respect the criteria defined by the system's user, one has developed algorithms. One of the main goals of this project is related with the need to decrease the number of cars which on a daily basis go into cities, reducing thus traffic jams on urban areas. By achieving this goal, one intends to reduce gas emissions which cause the greenhouse effect, protecting thus the environment.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556721","GPS;GPS traces;car sharing","Global Positioning System;Portals;Software;Cities and towns;Converters;Urban areas;Silicon carbide","","","","17","","23 Aug 2010","","","IEEE","IEEE Conferences"
"IT Governance in Uruguayan SMEs: Analysis of strategic alignment and decision-making processes","H. G. Alberti; J. C. Verdún","Facultad de Ingeniería, Universidad ORT Uruguay, Montevideo, Uruguay; Facultad de Informática, Universidad Politécnica de Madrid, Madrid, España","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","4","This article aims to present the preliminary results of a survey in Uruguayan SMEs enterprises with the objective of studying aspects of IT governance. Analyzes the state of IT governance in this kind of enterprises, the degree of strategic alignment, the allocation of responsibilities and the decisión-making processes in these companies.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556718","IT governance;strategic alignment;decision-making process;SMEs","Media;Outsourcing;Silicon;ISO standards;Presses;Decision making","","","","19","","23 Aug 2010","","","IEEE","IEEE Conferences"
"Sentiment analysis on a corpus of texts written by primary school children","E. B. López; F. M. Santiago; A. P. Vallejo; A. U. López","IDEO Group, University of Jaén, Jaén, Spain; Department of Computer Science, University of Jaén, Jaén, Spain; IDEO Group, University of Jaén, Jaén, Spain; Department of Computer Science, University of Jaén, Jaén, Spain","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","5","This paper describes the making of the e-Culturas corpus from written texts by 10-11-year-old-children. These texts have been written from the memory of some event in which the kid has felt fear, hapiness or sadness. The purpose of the corpus in this report is the training of an automatic classifier for these sentiments. The results of the evaluation of the classifier are hopeful, in spite of being in a preliminary development status. We think that they show that the methodology used for the making of the corpus is suitable, and specific techniques can perform at a level good enough to be useful within the e-Culturas web platform.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556719","Sentiment;analysis;opinion mining;making of corpus;automatic classification","Software;Media;Manuals;Support vector machines;Accuracy;Cultural differences;Computer science","","","","9","","23 Aug 2010","","","IEEE","IEEE Conferences"
"Application of a neuro fuzzy network to forecast the behavior of the urban traffic of the city of São Paulo","R. P. Ferreira; C. Affonso; R. J. Sassi","Nove de Julho University, Sao Paulo, Brazil; Nove de Julho University, Sao Paulo, Brazil; Nove de Julho University, Sao Paulo, Brazil","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","4","In recent years the behavior of the parcel delivery market has undergone significant changes influenced by increased competitiveness, concern with the environment, electronic commerce, the increase in the number of customers, reducing the size of applications; expansion of the collection sites and distribution, increasing the flow of urban vehicles, increasing fleet; complexity of the operations of collection and distribution, and increased restrictions of movement of vehicles, increased restrictions on size and capacity of vehicles. Thus the routing and scheduling of vehicles tend to receive a focused mission, observing the requirements of the consumer market and end customer within the urban distribution logistics. The aim of this paper is to apply a neuro fuzzy network to forecast the behavior of the urban traffic of the city of São Paulo aided routing in a hierarchy of three levels: strategic represented by forecasting the behavior of traffic, represented by the tactical and operational routing dynamics represented by routing algorithms. The methodology of the work consists in the capture of relevant events that affect the flow of traffic of the city of São Paulo and implementation of a neuro fuzzy network trained with these events to predict the behavior of traffic. This paper will present the partial results of the use of neuro fuzzy network in predicting the behavior of the traffic of the city of São Paulo.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556716","Forecast Traffic Behavior;Neuro Fuzzy Network;Dynamic Routing","Routing;Fuzzy neural networks;Vehicles;Cities and towns;Vehicle dynamics;Heuristic algorithms;Logistics","","","","13","","23 Aug 2010","","","IEEE","IEEE Conferences"
"Inclusive learning environment for deaf people","X. Basogain; M. A. Olabe; K. Espinosa; A. Reis; P. Pinto; E. Marques","Departamento Ingeniería de Sistemas y Automática, Escuela Técnica Superior de Ingeniería, UPV-EHU, Bilbao, Spain; Departamento Ingeniería de Sistemas y Automática, Escuela Técnica Superior de Ingeniería, UPV-EHU, Bilbao, Spain; Departamento Ingeniería de Sistemas y Automática, Escuela Técnica Superior de Ingeniería, UPV-EHU, Bilbao, Spain; Graal Institute, Universidade Lusíada de Lisboa y de Evora, Lisboa, Portugal; Graal Institute, Universidade Lusíada de Lisboa y de Evora, Lisboa, Portugal; Graal Institute, Universidade Lusíada de Lisboa y de Evora, Lisboa, Portugal","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","3","Our research group of education through ICTs has initiated a project on inclusive learning environment for deaf people. Since the beginning of the project the group is aware of the need to integrate new methodologies and technologies for distance education. The set of these new methodologies and technologies has been adjusted for the specific target audience. Also it is important the interdisciplinary collaboration between the agents of education and deaf community in order to develop a client oriented project.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556717","Inclusive Learning Environments;e-Learning;Multi-user Virtual environments;ICT for deaf students","Electronic learning;Bridges;Multimedia communication;Mobile communication;Streaming media;Silicon compounds","","1","","17","","23 Aug 2010","","","IEEE","IEEE Conferences"
"Glaucoma detection by morphological analysis of multifocal ERG records","J. M. M. Jiménez; S. O. Recuero; L. Boquete; R. Ascariz; J. M. Vázquez; R. B. Velasco","Department of Electronics, University of Alcalá, Alcalá de Henares, Spain; Department of Electronics, University of Alcalá, Alcalá de Henares, Spain; Department of Electronics, University of Alcalá Alcalá de Henares, Spain; Department of Electronics, University of Alcalá, Alcalá de Henares, Spain; Department of Surgery, University of Alcalá, Alcalá de Henares, Spain; Department of Surgery, University of Alcalá, Alcala de Henares, Spain","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","5","This work deals with a detailed morphological analysis of various Multifocal Electroretinographic (mfERG) records from a number of control subjects and other affected by glaucoma. We study the variation in the morphology of these signals, according to its topographic origin in the retina, and glaucomatous records are compared with healthy records from the same topographic position. The purpose of the study is to early detection of signs of glaucoma in the affected retina, making use of thirteen parameters to characterize record's waveforms in detail.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556714","Multifocal ERG;Glaucoma;m-sequence;Morphological Analysis;Identity Patterns","Retina;Integrated circuits;Tin;Monitoring;IP networks;Visualization;Guidelines","","1","","4","","23 Aug 2010","","","IEEE","IEEE Conferences"
"Analysis of the potential for organizational interoperability improvement in local government","G. P. Dias; T. Narciso","ESTGA/GOVCOPP, University of Aveiro, Aveiro, Portugal; Câmara Municipal de Portalegre, Portalegre, Portugal","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","6","In this article we present an analysis of the potential for organizational interoperability in a cluster of local government in Portugal consisting of the City Council, the Land Registry Office and the Tax Office of Portalegre. Based on an exhaustive survey of procedures we identified the direct and indirect interactions between these three agencies and measured the rate of organizational interoperability and the potential for improving organizational interoperability. These two quantities were defined within the scope of the research work that is described in the article. We also present a set of proposals that will, in the short and medium term, significantly improve organizational interoperability in the cluster. The results obtained allow affirming the relevance of organizational interoperability in the context of e-government initiatives.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556715","e-government;service integration;interoperability;public administration;local government","Local government;Electronic mail;Strontium;Electronic government;Face;Computational modeling;Internet","","3","","14","","23 Aug 2010","","","IEEE","IEEE Conferences"
"A new level set based segmentation method for the four cardiac chambers","S. G. Antunes; J. S. Silva; J. B. Santos","Department of Physics, University of Coimbra, Portugal; Instrumentation Center, Faculty of Sciences and Technology, University of Coimbra, Portugal; Mechanical Engineering Center, Faculty of Sciences and Technology, University of Coimbra, Portugal","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","6","Ultrasonography is one of the safest methods in medical imaging, however the segmentation of such images still is a difficult task. A robust segmentation of the heart cavities and a 3D view are needed to better understand the congenital malformations and defects in children hearts. In this work we propose an automatic segmentation method based on geometric models to extract the boundaries of the four heart cavities, by an algorithm that uses the phase symmetry. The performance of the proposed method is quantitatively compared with three alternative level set functions, the watershed segmentation and the contours drawn by a pediatrician.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556712","heart segmentation;echocardiographic images;phase symmetry;level set;watershed;similarity index","Image segmentation;Level set;Heart;Ultrasonic imaging;Cavity resonators;Pixel;Biomedical imaging","","1","","23","","23 Aug 2010","","","IEEE","IEEE Conferences"
"Multimodality segmentation and registration of 3D Pulmonary exams","L. B. Abrantes; J. S. Silva","Department of Physics, Faculty of Sciences and Technology, University of Coimbra, Portugal; Instrumentation Center, Faculty of Sciences and Technology, University of Coimbra, Portugal","5th Iberian Conference on Information Systems and Technologies","23 Aug 2010","2010","","","1","4","Several medical imaging techniques are used to perform the Pulmonary Embolism diagnose. Multimodality imaging is usually used to achieve better morphological details. In this work we applied and compared 3D registration algorithms, after the segmentation of thoracic CT exam, ventilation and perfusion SPECT exams. The registration routine is applied using rigid body transformations, affine transformations and B-spline algorithm. In order to evaluate the registration performance, similarity metrics are used.","2166-0735","978-989-96247-3-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5556713","pulmonary registration;segmentation;computed tomography;SPECT","Computed tomography;Three dimensional displays;Lungs;Spline;Ventilation;Image segmentation;Measurement","","","","12","","23 Aug 2010","","","IEEE","IEEE Conferences"
